dataset,algorithm,param_name,param_value,accuracy,precision,recall,f1,auc,additional_info,n_neighbors,weights,metric
diabetes,logistic_regression,C,0.001,0.8508552129861641,0.5467741935483871,0.1448924348197749,0.22907985133460976,0.8102178756172833,{},,,
diabetes,logistic_regression,C,0.01,0.8505501688637106,0.5404040404040404,0.15244336800113975,0.23780420046671852,0.8102148009003123,{},,,
diabetes,logistic_regression,C,0.1,0.8505719577296001,0.5402701350675337,0.15386807237498218,0.23952095808383234,0.8101892100199682,{},,,
diabetes,logistic_regression,C,1,0.8505501688637106,0.5399201596806387,0.15415301324975067,0.23983154161587056,0.8101858714417078,{},,,
diabetes,logistic_regression,C,10,0.8505501688637106,0.5399201596806387,0.15415301324975067,0.23983154161587056,0.8101851641468623,{},,,
diabetes,logistic_regression,C,100,0.8505501688637106,0.5399201596806387,0.15415301324975067,0.23983154161587056,0.810185186135303,{},,,
diabetes,logistic_regression,penalty,l1,0.8505501688637106,0.5399201596806387,0.15415301324975067,0.23983154161587056,0.8101859667249511,{'C': 1.0},,,
diabetes,logistic_regression,penalty,l2,0.8505501688637106,0.5399201596806387,0.15415301324975067,0.23983154161587056,0.8101858714417078,{'C': 1.0},,,
diabetes,knn,n_neighbors,1,0.7813705196644515,0.2896609460025115,0.295768628009688,0.2926829268292683,0.5824068986328922,{},,,
diabetes,knn,n_neighbors,3,0.8192395685804554,0.3639463030044747,0.24333950705228666,0.2916666666666667,0.6695031236119339,{},,,
diabetes,knn,n_neighbors,5,0.832203943784726,0.40621562156215624,0.21042883601652657,0.27724073205068045,0.7095144448737402,{},,,
diabetes,knn,n_neighbors,7,0.8379997821113411,0.43237971391417424,0.18948568172104288,0.26349678058444775,0.7307078697699705,{},,,
diabetes,knn,n_neighbors,9,0.8412681119947707,0.4511029411764706,0.1748112266704659,0.25197658897217373,0.7441766234846428,{},,,
diabetes,knn,n_neighbors,11,0.8429894324000435,0.46160164271047227,0.16013677161988887,0.2377829490162894,0.7530183770885959,{},,,
diabetes,knn,n_neighbors,15,0.8455605185750081,0.48364153627311524,0.14531984613192764,0.22348816827344434,0.7660057910076981,{},,,
diabetes,knn,n_neighbors,20,0.8489377927878854,0.5315712187958884,0.10314859666619176,0.17277174561508174,0.7761717636434354,{},,,
diabetes,knn,n_neighbors,25,0.8492210480444493,0.5313092979127134,0.11967516740276393,0.19534883720930232,0.7827025211257242,{},,,
diabetes,knn,n_neighbors,30,0.8500272360823619,0.5557377049180328,0.09659495654651659,0.16458308047093093,0.7858608766284144,{},,,
diabetes,knn,n_neighbors,50,0.8507244797908269,0.5807692307692308,0.08605214418008263,0.14989452785705423,0.7945660618589664,{},,,
diabetes,knn,weights,uniform,0.832203943784726,0.40621562156215624,0.21042883601652657,0.27724073205068045,0.7095144448737402,{'n_neighbors': 5},,,
diabetes,knn,weights,distance,0.8244253186621636,0.3726403530277029,0.21655506482404902,0.2739232294107046,0.7022106031310571,{'n_neighbors': 5},,,
diabetes,knn,distance_metric,euclidean,0.832203943784726,0.40621562156215624,0.21042883601652657,0.27724073205068045,0.7095144448737402,{'n_neighbors': 5},,,
diabetes,knn,distance_metric,manhattan,0.8319860551258307,0.4046831955922865,0.20928907251745263,0.27589445018311576,0.7082138469244791,{'n_neighbors': 5},,,
diabetes,decision_tree,max_depth,1,0.8470639503213858,0.0,0.0,0.0,0.6758797842687687,{},,,
diabetes,decision_tree,max_depth,2,0.8470639503213858,0.0,0.0,0.0,0.735354126257715,{},,,
diabetes,decision_tree,max_depth,3,0.8470639503213858,0.0,0.0,0.0,0.7598212378609698,{},,,
diabetes,decision_tree,max_depth,5,0.8521843338054255,0.6044444444444445,0.09687989742128508,0.16699410609037327,0.7942202972922217,{},,,
diabetes,decision_tree,max_depth,7,0.8522279115372045,0.6240837696335079,0.08491238068100869,0.14948582894406823,0.8039431295511583,{},,,
diabetes,decision_tree,max_depth,10,0.851138468242728,0.5509536784741145,0.14403761219546943,0.22837135757849558,0.7992280767292798,{},,,
diabetes,decision_tree,max_depth,15,0.8296546464756509,0.3979044211602351,0.221826471007266,0.2848518111964874,0.7148759505254806,{},,,
diabetes,decision_tree,max_depth,20,0.7988451901078549,0.31958258601010925,0.27924205727311585,0.2980535279805353,0.6281328580732194,{},,,
diabetes,decision_tree,max_depth,None,0.7737008388713368,0.2867637745408486,0.3225530702379256,0.30360734879978546,0.5887206283721748,{},,,
diabetes,decision_tree,min_samples_split,2,0.7737008388713368,0.2867637745408486,0.3225530702379256,0.30360734879978546,0.5887206283721748,{},,,
diabetes,decision_tree,min_samples_split,5,0.7943131060028326,0.30975954738330974,0.2808092320843425,0.2945748019727993,0.6113556740826983,{},,,
diabetes,decision_tree,min_samples_split,10,0.8091949014053819,0.3461946902654867,0.27867217552357887,0.30878522377456785,0.6514545441538959,{},,,
diabetes,decision_tree,min_samples_split,20,0.825384028761303,0.39154131240462176,0.2558769055421,0.3094950887471997,0.6965145525144875,{},,,
diabetes,decision_tree,min_samples_split,50,0.8385009260268003,0.44573322286661143,0.22994728593816782,0.30338345864661653,0.7460875600821318,{},,,
diabetes,decision_tree,min_samples_split,100,0.8470639503213858,0.5,0.20287790283516172,0.2886388973345495,0.7752918980174357,{},,,
diabetes,decision_tree,min_samples_leaf,1,0.7737008388713368,0.2867637745408486,0.3225530702379256,0.30360734879978546,0.5887206283721748,{},,,
diabetes,decision_tree,min_samples_leaf,2,0.8059265715219522,0.330093592512599,0.26129078216270124,0.29168986083499004,0.6183795516677125,{},,,
diabetes,decision_tree,min_samples_leaf,5,0.8207865780586121,0.3802145411203814,0.27268841715344067,0.31759727868580434,0.6773482584663817,{},,,
diabetes,decision_tree,min_samples_leaf,10,0.8351236518139231,0.42489035087719296,0.2208291779455763,0.2906159182525546,0.7238094637252368,{},,,
diabetes,decision_tree,min_samples_leaf,20,0.8420743000326834,0.46425226350296595,0.211853540390369,0.2909411074153786,0.7637384089583488,{},,,
diabetes,decision_tree,min_samples_leaf,50,0.8491992591785598,0.5216049382716049,0.1685425274255592,0.2547647248842468,0.790720725165291,{},,,
diabetes,decision_tree,criterion,gini,0.7737008388713368,0.2867637745408486,0.3225530702379256,0.30360734879978546,0.5887206283721748,{},,,
diabetes,decision_tree,criterion,entropy,0.7783854450375858,0.2930672268907563,0.3179940162416299,0.30502220703792277,0.5897325364175122,{},,,
diabetes,decision_tree,criterion,log_loss,0.7783854450375858,0.2930672268907563,0.3179940162416299,0.30502220703792277,0.5897325364175122,{},,,
diabetes,svm,C,0.01,0.8469999999999999,0.0,0.0,0.0,0.7101102700033183,"{'n_support_vectors': 1253, 'training_time': 0.3489990234375, 'kernel': 'linear'}",,,
diabetes,svm,C,0.1,0.8469999999999999,0.0,0.0,0.0,0.6792732520005247,"{'n_support_vectors': 1292, 'training_time': 0.364926815032959, 'kernel': 'linear'}",,,
diabetes,svm,C,1,0.8469999999999999,0.0,0.0,0.0,0.7196417961123842,"{'n_support_vectors': 1618, 'training_time': 0.6066383838653564, 'kernel': 'linear'}",,,
diabetes,svm,C,10,0.721,0.2614831580315473,0.39215686274509803,0.3098082409475375,0.6390906775933514,"{'n_support_vectors': 2026, 'training_time': 1.3103728294372559, 'kernel': 'linear'}",,,
diabetes,svm,C,100,0.591,0.17778119483322602,0.3830065359477125,0.23355075883283907,0.5183739611547098,"{'n_support_vectors': 1816, 'training_time': 1.3114070415496826, 'kernel': 'linear'}",,,
diabetes,svm,kernel,linear,0.8469999999999999,0.0,0.0,0.0,0.7196417961123842,"{'n_support_vectors': 1618, 'training_time': 0.5981328010559082, 'C': 1.0}",,,
diabetes,svm,kernel,rbf,0.852,0.6332763181901113,0.08758169934640522,0.1528455158163381,0.7345386639504288,"{'n_support_vectors': 1586, 'training_time': 1.2894726276397706, 'C': 1.0}",,,
heart,logistic_regression,C,0.001,0.7222222222222222,0.9090909090909091,0.4166666666666667,0.5714285714285714,0.9,{},,,
heart,logistic_regression,C,0.01,0.8518518518518519,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9083333333333333,{},,,
heart,logistic_regression,C,0.1,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9083333333333333,{},,,
heart,logistic_regression,C,1,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.898611111111111,{},,,
heart,logistic_regression,C,10,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.8916666666666666,{},,,
heart,logistic_regression,C,100,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.8916666666666666,{},,,
heart,logistic_regression,penalty,l1,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.8986111111111111,{'C': 1.0},,,
heart,logistic_regression,penalty,l2,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.898611111111111,{'C': 1.0},,,
heart,logistic_regression,penalty,elasticnet,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9,{'C': 1.0},,,
heart,knn,k,1,0.8148148148148148,0.7692307692307693,0.8333333333333334,0.8,,{},,,
heart,knn,k,2,0.8148148148148148,0.85,0.7083333333333334,0.7727272727272727,,{},,,
heart,knn,k,3,0.8148148148148148,0.75,0.875,0.8076923076923077,,{},,,
heart,knn,k,4,0.8333333333333334,0.8,0.8333333333333334,0.8163265306122449,,{},,,
heart,knn,k,5,0.7962962962962963,0.7241379310344828,0.875,0.7924528301886793,,{},,,
heart,knn,k,6,0.7777777777777778,0.75,0.75,0.75,,{},,,
heart,knn,k,7,0.7962962962962963,0.7241379310344828,0.875,0.7924528301886793,,{},,,
heart,knn,k,8,0.8148148148148148,0.7692307692307693,0.8333333333333334,0.8,,{},,,
heart,knn,k,9,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,,{},,,
heart,knn,k,10,0.8333333333333334,0.8,0.8333333333333334,0.8163265306122449,,{},,,
heart,knn,k,11,0.8518518518518519,0.8076923076923077,0.875,0.84,,{},,,
heart,knn,k,12,0.8333333333333334,0.8260869565217391,0.7916666666666666,0.8085106382978723,,{},,,
heart,knn,k,13,0.8148148148148148,0.75,0.875,0.8076923076923077,,{},,,
heart,knn,k,14,0.8703703703703703,0.84,0.875,0.8571428571428571,,{},,,
heart,knn,k,15,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,,{},,,
heart,knn,k,16,0.8333333333333334,0.8260869565217391,0.7916666666666666,0.8085106382978723,,{},,,
heart,knn,k,17,0.8518518518518519,0.8076923076923077,0.875,0.84,,{},,,
heart,knn,k,18,0.8518518518518519,0.8076923076923077,0.875,0.84,,{},,,
heart,knn,k,19,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,,{},,,
heart,knn,k,20,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,,{},,,
heart,knn,k,21,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,,{},,,
heart,knn,k,22,0.8148148148148148,0.7692307692307693,0.8333333333333334,0.8,,{},,,
heart,knn,k,23,0.8148148148148148,0.7692307692307693,0.8333333333333334,0.8,,{},,,
heart,knn,k,24,0.8333333333333334,0.8,0.8333333333333334,0.8163265306122449,,{},,,
heart,knn,k,25,0.8333333333333334,0.8,0.8333333333333334,0.8163265306122449,,{},,,
heart,knn,weights,uniform,0.8703703703703703,0.84,0.875,0.8571428571428571,,{'k': 14},,,
heart,knn,weights,distance,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,,{'k': 14},,,
heart,knn,metric,euclidean,0.8703703703703703,0.84,0.875,0.8571428571428571,,{'k': 14},,,
heart,knn,metric,manhattan,0.8148148148148148,0.8181818181818182,0.75,0.782608695652174,,{'k': 14},,,
heart,knn,metric,minkowski,0.8703703703703703,0.84,0.875,0.8571428571428571,,{'k': 14},,,
heart,decision_tree,max_depth,1,0.7222222222222222,0.6363636363636364,0.875,0.7368421052631579,,{},,,
heart,decision_tree,max_depth,2,0.7592592592592593,0.8666666666666667,0.5416666666666666,0.6666666666666666,,{},,,
heart,decision_tree,max_depth,3,0.8333333333333334,0.7586206896551724,0.9166666666666666,0.8301886792452831,,{},,,
heart,decision_tree,max_depth,4,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,5,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,6,0.7777777777777778,0.7307692307692307,0.7916666666666666,0.76,,{},,,
heart,decision_tree,max_depth,7,0.7777777777777778,0.7142857142857143,0.8333333333333334,0.7692307692307693,,{},,,
heart,decision_tree,max_depth,8,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,9,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,10,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,11,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,12,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,13,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,14,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,15,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,16,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,17,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,18,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,19,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,max_depth,20,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,min_samples_split,2,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,min_samples_split,3,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,min_samples_split,4,0.7777777777777778,0.7307692307692307,0.7916666666666666,0.76,,{},,,
heart,decision_tree,min_samples_split,5,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,min_samples_split,6,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,min_samples_split,7,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,min_samples_split,8,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,min_samples_split,9,0.7777777777777778,0.7307692307692307,0.7916666666666666,0.76,,{},,,
heart,decision_tree,min_samples_split,10,0.7777777777777778,0.7307692307692307,0.7916666666666666,0.76,,{},,,
heart,decision_tree,min_samples_split,11,0.7777777777777778,0.7307692307692307,0.7916666666666666,0.76,,{},,,
heart,decision_tree,min_samples_split,12,0.7777777777777778,0.7307692307692307,0.7916666666666666,0.76,,{},,,
heart,decision_tree,min_samples_split,13,0.7777777777777778,0.7307692307692307,0.7916666666666666,0.76,,{},,,
heart,decision_tree,min_samples_split,14,0.7962962962962963,0.7241379310344828,0.875,0.7924528301886793,,{},,,
heart,decision_tree,min_samples_split,15,0.7962962962962963,0.7241379310344828,0.875,0.7924528301886793,,{},,,
heart,decision_tree,min_samples_split,16,0.7962962962962963,0.7241379310344828,0.875,0.7924528301886793,,{},,,
heart,decision_tree,min_samples_split,17,0.7962962962962963,0.7241379310344828,0.875,0.7924528301886793,,{},,,
heart,decision_tree,min_samples_split,18,0.7962962962962963,0.7241379310344828,0.875,0.7924528301886793,,{},,,
heart,decision_tree,min_samples_split,19,0.7962962962962963,0.7241379310344828,0.875,0.7924528301886793,,{},,,
heart,decision_tree,min_samples_split,20,0.7962962962962963,0.7241379310344828,0.875,0.7924528301886793,,{},,,
heart,decision_tree,min_samples_leaf,1,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,min_samples_leaf,2,0.8518518518518519,0.8076923076923077,0.875,0.84,,{},,,
heart,decision_tree,min_samples_leaf,3,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,,{},,,
heart,decision_tree,min_samples_leaf,4,0.8333333333333334,0.7586206896551724,0.9166666666666666,0.8301886792452831,,{},,,
heart,decision_tree,min_samples_leaf,5,0.7962962962962963,0.7407407407407407,0.8333333333333334,0.7843137254901961,,{},,,
heart,decision_tree,min_samples_leaf,6,0.7777777777777778,0.7,0.875,0.7777777777777778,,{},,,
heart,decision_tree,min_samples_leaf,7,0.8518518518518519,0.8076923076923077,0.875,0.84,,{},,,
heart,decision_tree,min_samples_leaf,8,0.8518518518518519,0.8076923076923077,0.875,0.84,,{},,,
heart,decision_tree,min_samples_leaf,9,0.8333333333333334,0.8260869565217391,0.7916666666666666,0.8085106382978723,,{},,,
heart,decision_tree,min_samples_leaf,10,0.8148148148148148,0.8181818181818182,0.75,0.782608695652174,,{},,,
heart,decision_tree,min_samples_leaf,11,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,,{},,,
heart,decision_tree,min_samples_leaf,12,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,,{},,,
heart,decision_tree,min_samples_leaf,13,0.8518518518518519,0.7857142857142857,0.9166666666666666,0.8461538461538461,,{},,,
heart,decision_tree,min_samples_leaf,14,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,,{},,,
heart,decision_tree,min_samples_leaf,15,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,,{},,,
heart,decision_tree,min_samples_leaf,16,0.8518518518518519,0.8076923076923077,0.875,0.84,,{},,,
heart,decision_tree,min_samples_leaf,17,0.8518518518518519,0.8076923076923077,0.875,0.84,,{},,,
