dataset,algorithm,parameter,metric,variance,std_dev,range,mean,min,max,cv,n_values
diabetes,decision_tree,criterion,accuracy,7.315178310952701e-06,0.002704658631131238,0.004684606166248995,0.7768239096488362,0.7737008388713368,0.7783854450375858,0.003481688188966636,3
diabetes,decision_tree,criterion,precision,1.3244503842518973e-05,0.0036392999110431905,0.006303452349907701,0.29096607610745373,0.2867637745408486,0.2930672268907563,0.012507643364236034,3
diabetes,decision_tree,criterion,recall,6.928324447046742e-06,0.002632171052011389,0.004559053996295748,0.3195137009070618,0.3179940162416299,0.3225530702379256,0.0082380537815404,3
diabetes,decision_tree,criterion,f1,6.672746113416676e-07,0.0008168687846537335,0.0014148582381373065,0.3045505876252103,0.30360734879978546,0.30502220703792277,0.0026822105024436804,3
diabetes,decision_tree,criterion,auc,3.4131929740622756e-07,0.0005842253823707316,0.0010119080453374618,0.5893952337357331,0.5887206283721748,0.5897325364175122,0.0009912285490803281,3
diabetes,decision_tree,max_depth,accuracy,0.000794231591943597,0.02818211475286404,0.07852707266586767,0.8332159155560397,0.7737008388713368,0.8522279115372045,0.03382330345197132,9
diabetes,decision_tree,max_depth,precision,0.06750742392433626,0.25982190809155464,0.6240837696335079,0.3093036304736955,0.0,0.6240837696335079,0.8400221739836674,9
diabetes,decision_tree,max_depth,recall,0.015220243845040185,0.12337035237462923,0.3225530702379256,0.12771683209067453,0.0,0.3225530702379256,0.9659678395956498,9
diabetes,decision_tree,max_depth,f1,0.017111955383414257,0.13081267287007883,0.30360734879978546,0.1590404422877495,0.0,0.30360734879978546,0.822512003792101,9
diabetes,decision_tree,max_depth,auc,0.00603189173024175,0.07766525433063198,0.21522250117898356,0.7222417876589986,0.5887206283721748,0.8039431295511583,0.10753359284619667,9
diabetes,decision_tree,min_samples_leaf,accuracy,0.0007806313290065223,0.027939780403691834,0.07549842030722298,0.8211351999128446,0.7737008388713368,0.8491992591785598,0.03402579795222196,6
diabetes,decision_tree,min_samples_leaf,precision,0.007525253245985085,0.08674821753779777,0.2348411637307563,0.4013032434709322,0.2867637745408486,0.5216049382716049,0.2161662507073189,6
diabetes,decision_tree,min_samples_leaf,recall,0.002910039705726726,0.0539447838602281,0.15401054281236642,0.24295958588592867,0.1685425274255592,0.3225530702379256,0.22203192215496934,6
diabetes,decision_tree,min_samples_leaf,f1,0.0004356517005959813,0.020872271093390418,0.06283255380155756,0.2915360398121266,0.2547647248842468,0.31759727868580434,0.07159413672093869,6
diabetes,decision_tree,min_samples_leaf,auc,0.0064372305895874365,0.08023235375824042,0.20200009679311626,0.6937861727258575,0.5887206283721748,0.790720725165291,0.11564420986225595,6
diabetes,decision_tree,min_samples_split,accuracy,0.0007709840607724281,0.027766599733716552,0.07336311145004903,0.8146929585648399,0.7737008388713368,0.8470639503213858,0.03408228761744804,6
diabetes,decision_tree,min_samples_split,precision,0.006724714471821912,0.08200435641977755,0.21323622545915139,0.3799987579101464,0.2867637745408486,0.5,0.21580164332844504,6
diabetes,decision_tree,min_samples_split,recall,0.0017716896119037491,0.04209144345236629,0.1196751674027639,0.26178942869354604,0.20287790283516172,0.3225530702379256,0.16078358726103892,6
diabetes,decision_tree,min_samples_split,f1,6.76612718498646e-05,0.008225647199452733,0.020856191412650216,0.30141413654591975,0.2886388973345495,0.3094950887471997,0.027290183843781245,6
diabetes,decision_tree,min_samples_split,auc,0.005512202628841762,0.07424420939603144,0.18657126964526094,0.678237476203804,0.5887206283721748,0.7752918980174357,0.10946639193632783,6
