dataset,algorithm,parameter,variance,std_dev,range,mean,min,max,cv
diabetes,decision_tree,criterion,5.890666666666483e-06,0.0024270695636232765,0.0046999999999999265,0.7768333333333333,0.7737,0.7784,0.0031243118175798457
diabetes,decision_tree,max_depth,0.0007479877124182992,0.0273493640221907,0.0784999999999999,0.8332222222222222,0.7737,0.8522,0.0328236133084033
diabetes,decision_tree,min_samples_leaf,0.0007099078787878772,0.02664409650913082,0.0754999999999999,0.8211333333333334,0.7737,0.8492,0.03244795385540004
diabetes,decision_tree,min_samples_split,0.0007014727272727263,0.02648533041652919,0.07339999999999991,0.8146999999999999,0.7737,0.8471,0.032509304549563266
diabetes,knn,k,0.0004002587012987012,0.02000646648708115,0.06930000000000003,0.8363181818181818,0.7814,0.8507,0.023922075260382918
diabetes,knn,metric,1.3333333333345199e-08,0.00011547005383797653,0.000200000000000089,0.8321000000000001,0.832,0.8322,0.00013876944338177686
diabetes,knn,weights,2.028000000000015e-05,0.004503332099679098,0.007800000000000029,0.8283,0.8244,0.8322,0.005436837015186644
diabetes,logistic_regression,C,0.0025780217391304346,0.050774223176041154,0.1271,0.88705,0.8506,0.9777,0.057239415113061444
diabetes,logistic_regression,penalty,0.003405122142857144,0.05835342443128033,0.11060000000000003,0.9051750000000001,0.8506,0.9612,0.06446645613420646
heart,svm,C,0.012535607472527476,0.11196252709066314,0.27770000000000006,0.7142857142857143,0.5556,0.8333,0.1567475379269284
heart,svm,kernel,0.0002704992857142859,0.016446862488459186,0.03710000000000002,0.837975,0.8148,0.8519,0.019626913080293785
obesity,decision_tree,criterion,0.0005520666666666691,0.023496098966991712,0.045500000000000096,0.9561333333333334,0.9258,0.9713,0.024574082032134684
obesity,decision_tree,max_depth,0.04778844941176469,0.2186056939143276,0.6363,0.7695333333333334,0.2895,0.9258,0.28407566566013287
obesity,decision_tree,min_samples_leaf,0.0017168509090909104,0.04143489965102981,0.11960000000000004,0.9095,0.823,0.9426,0.04555788856627797
obesity,decision_tree,min_samples_split,0.001520721515151516,0.038996429517989414,0.10520000000000007,0.9106833333333332,0.8278,0.933,0.04282106423892984
obesity,knn,k,0.001633954285714286,0.04042220040663652,0.1412,0.7698999999999999,0.6866,0.8278,0.05250318275962661
obesity,knn,metric,0.00032240333333333367,0.01795559337179737,0.031100000000000017,0.82415,0.8086,0.8397,0.021786802610929284
obesity,knn,weights,1.7279999999999926e-05,0.004156921938165296,0.007199999999999984,0.8121999999999999,0.8086,0.8158,0.005118101376711767
obesity,logistic_regression,penalty,0.00019040333333333385,0.013798671433632075,0.023900000000000032,0.77035,0.7584,0.7823,0.017912210597302622
obesity,svm,C,0.09286410989010987,0.3047361315796174,0.7512,0.6893714285714285,0.1675,0.9187,0.4420492624870113
obesity,svm,kernel,0.017170171428571433,0.13103500077678265,0.3254,0.8170000000000001,0.6172,0.9426,0.16038555786631903
smartphone,decision_tree,criterion,7.706666666665975e-07,0.0008778762251403085,0.0016999999999999238,0.8529666666666668,0.8524,0.8541,0.0010292034371882158
smartphone,decision_tree,max_depth,0.031018576470588227,0.17612091434746818,0.5002,0.7487333333333335,0.3627,0.8629,0.2352251549472017
smartphone,decision_tree,min_samples_leaf,5.2951515151515164e-05,0.007276779174299242,0.01969999999999994,0.8595666666666665,0.8514,0.8711,0.008465636763833611
smartphone,decision_tree,min_samples_split,7.620969696969733e-05,0.008729816548456063,0.025500000000000078,0.8547666666666668,0.8371,0.8626,0.010213098953074205
smartphone,logistic_regression,penalty,3.000000000000005e-06,0.0017320508075688787,0.0030000000000000027,0.9598,0.9583,0.9613,0.0018045955486235452
smartphone,svm,C,0.07569467912087911,0.27512666014197734,0.7693,0.8091714285714288,0.1856,0.9549,0.34001034938629304
smartphone,svm,kernel,0.0012888592857142874,0.03590068642399874,0.08420000000000005,0.926625,0.8724,0.9566,0.038743490002966396
sms_spam,decision_tree,criterion,1.5810666666666376e-05,0.003976262902106245,0.007699999999999929,0.9625333333333331,0.9574,0.9651,0.004131039169662951
sms_spam,decision_tree,max_depth,0.0005297681045751641,0.023016691868623606,0.06880000000000008,0.933711111111111,0.8886,0.9574,0.024650763597783332
sms_spam,decision_tree,min_samples_leaf,0.00015136636363636397,0.012303103821246246,0.03400000000000003,0.94575,0.9234,0.9574,0.013008833012155692
sms_spam,decision_tree,min_samples_split,8.29696969696976e-06,0.002880446093397646,0.007800000000000029,0.9544666666666668,0.9496,0.9574,0.0030178592862306827
sms_spam,svm,C,0.0026936518681318685,0.0519004033523042,0.10370000000000001,0.9349571428571427,0.876,0.9797,0.05551099721394861
sms_spam,svm,kernel,0.00029618500000000095,0.017210026147568776,0.03870000000000007,0.9658249999999999,0.938,0.9767,0.0178189901354477
