       Penalty        C  Accuracy  Precision    Recall        F1  Variance
0           l1    0.001  0.555556   0.000000  0.000000  0.000000  0.000000
1           l1    0.010  0.555556   0.000000  0.000000  0.000000  0.000000
2           l1    0.100  0.851852   0.785714  0.916667  0.846154  0.249657
3           l1    1.000  0.851852   0.785714  0.916667  0.846154  0.249657
4           l1   10.000  0.851852   0.785714  0.916667  0.846154  0.249657
5           l1  100.000  0.851852   0.785714  0.916667  0.846154  0.249657
6           l2    0.001  0.722222   0.909091  0.416667  0.571429  0.162209
7           l2    0.010  0.851852   0.833333  0.833333  0.833333  0.246914
8           l2    0.100  0.851852   0.785714  0.916667  0.846154  0.249657
9           l2    1.000  0.851852   0.785714  0.916667  0.846154  0.249657
10          l2   10.000  0.851852   0.785714  0.916667  0.846154  0.249657
11          l2  100.000  0.851852   0.785714  0.916667  0.846154  0.249657
12  elasticnet    0.001  0.555556   0.000000  0.000000  0.000000  0.000000
13  elasticnet    0.010  0.555556   0.000000  0.000000  0.000000  0.000000
14  elasticnet    0.100  0.833333   0.777778  0.875000  0.823529  0.250000
15  elasticnet    1.000  0.851852   0.785714  0.916667  0.846154  0.249657
16  elasticnet   10.000  0.851852   0.785714  0.916667  0.846154  0.249657
17  elasticnet  100.000  0.851852   0.785714  0.916667  0.846154  0.249657
